"n","optrdd","optrdd.bias","optrdd.cr","truth"
1000,0.0678650863167816,0.0278650863167816,1,0.04
1000,0.0692970793553974,0.0292970793553974,1,0.04
1000,0.0449509158122477,0.00495091581224762,1,0.04
1000,0.0569820372683064,0.0169820372683064,1,0.04
1000,0.0633581743061931,0.0233581743061931,1,0.04
1000,0.0952300974374038,0.0552300974374038,1,0.04
1000,0.0349457294638666,-0.00505427053613342,1,0.04
1000,0.0992274581368022,0.0592274581368021,1,0.04
1000,0.0444887324624212,0.00448873246242112,1,0.04
1000,0.110472130663462,0.0704721306634615,0,0.04
1000,0.111785598046847,0.0717855980468471,0,0.04
1000,0.111760961447161,0.0717609614471611,1,0.04
1000,0.110607637622022,0.0706076376220225,0,0.04
1000,0.0634174842105771,0.0234174842105771,1,0.04
1000,0.0544135855448159,0.0144135855448159,1,0.04
1000,0.0310169205141351,-0.00898307948586493,1,0.04
1000,0.115128822727334,0.0751288227273343,0,0.04
1000,0.0767610241713764,0.0367610241713764,1,0.04
1000,0.0936255218551103,0.0536255218551102,1,0.04
1000,0.051438797774307,0.011438797774307,1,0.04
1000,0.050371257912307,0.0103712579123069,1,0.04
1000,0.0987306864456714,0.0587306864456714,1,0.04
1000,0.0632573617336214,0.0232573617336213,1,0.04
1000,0.0454995362966933,0.00549953629669322,1,0.04
1000,0.0879512828450825,0.0479512828450824,1,0.04
1000,0.0794263599954779,0.0394263599954778,1,0.04
1000,0.11728611566518,0.07728611566518,0,0.04
1000,0.0683318945202938,0.0283318945202938,1,0.04
1000,0.0400775624888266,7.75624888265172e-05,1,0.04
1000,0.12060562801049,0.0806056280104901,0,0.04
1000,0.0568448997775449,0.0168448997775449,1,0.04
1000,0.0535492217747557,0.0135492217747557,1,0.04
1000,0.0788875071144838,0.0388875071144838,1,0.04
1000,0.0772917465047578,0.0372917465047578,1,0.04
1000,0.0890528521396537,0.0490528521396536,1,0.04
1000,0.0604305147993216,0.0204305147993215,1,0.04
1000,0.141243352757077,0.101243352757077,0,0.04
1000,0.123840248186566,0.0838402481865655,0,0.04
1000,0.0980806964724713,0.0580806964724713,1,0.04
1000,0.107107174434904,0.0671071744349038,1,0.04
1000,0.101490840727995,0.061490840727995,0,0.04
1000,0.0334540672298628,-0.00654593277013719,1,0.04
1000,0.0740263308744741,0.0340263308744741,1,0.04
1000,0.0295729048346095,-0.0104270951653905,1,0.04
1000,0.0973989872947882,0.0573989872947882,1,0.04
1000,0.10731822556828,0.0673182255682805,1,0.04
1000,0.121189075554643,0.0811890755546434,0,0.04
1000,0.048935483010652,0.00893548301065195,1,0.04
1000,0.0715141956661445,0.0315141956661445,1,0.04
1000,0.0747939616097312,0.0347939616097312,1,0.04
1000,0.0819912409192703,0.0419912409192703,1,0.04
1000,0.0985344791334525,0.0585344791334525,1,0.04
1000,0.078598772133825,0.038598772133825,1,0.04
1000,0.0563848871175289,0.0163848871175289,1,0.04
1000,0.0823589997245286,0.0423589997245286,1,0.04
1000,-0.00703026113415248,-0.0470302611341525,1,0.04
1000,0.072467623766132,0.032467623766132,1,0.04
1000,0.053608144592518,0.0136081445925179,1,0.04
1000,0.0231532386210964,-0.0168467613789036,1,0.04
1000,0.0746458224449185,0.0346458224449185,1,0.04
1000,0.106920465313547,0.0669204653135466,0,0.04
1000,0.0604127369011514,0.0204127369011514,1,0.04
1000,0.0113610106374066,-0.0286389893625934,1,0.04
1000,0.104760287946281,0.0647602879462808,0,0.04
1000,0.07616624627471,0.0361662462747099,1,0.04
1000,0.085220504453608,0.0452205044536079,1,0.04
1000,0.126340062385909,0.0863400623859094,0,0.04
1000,0.0938210634454063,0.0538210634454062,1,0.04
1000,0.104512352890393,0.0645123528903931,0,0.04
1000,0.0428156326780727,0.00281563267807269,1,0.04
1000,0.0467133382270852,0.00671333822708516,1,0.04
1000,0.140023272891708,0.100023272891708,0,0.04
1000,0.0672539004726441,0.0272539004726441,1,0.04
1000,0.11444189985035,0.0744418998503498,0,0.04
1000,0.0732447621922047,0.0332447621922046,1,0.04
1000,0.0623549200354643,0.0223549200354642,1,0.04
1000,0.0224618441341381,-0.0175381558658619,1,0.04
1000,0.0732377737294859,0.0332377737294858,1,0.04
1000,0.0540661532789847,0.0140661532789846,1,0.04
1000,0.0130603852798691,-0.0269396147201309,1,0.04
1000,0.0992770016389082,0.0592770016389081,0,0.04
1000,0.0349451344657831,-0.00505486553421691,1,0.04
1000,0.00743287542209149,-0.0325671245779086,1,0.04
1000,0.0242210358672261,-0.0157789641327739,1,0.04
1000,0.0443941091047855,0.00439410910478549,1,0.04
1000,0.0948680317319986,0.0548680317319986,1,0.04
1000,0.047513666817069,0.00751366681706901,1,0.04
1000,0.0588390982897912,0.0188390982897912,1,0.04
1000,0.0619266533320817,0.0219266533320817,1,0.04
1000,0.0957045601123969,0.0557045601123969,1,0.04
1000,0.0782758405712005,0.0382758405712005,1,0.04
1000,0.109567192524603,0.0695671925246026,0,0.04
1000,0.0588112656174212,0.0188112656174211,1,0.04
1000,0.0844792516201792,0.0444792516201792,1,0.04
1000,0.0876763615247591,0.047676361524759,1,0.04
