"prvdr_num","sum_pctg_ssi_mdcd_days","nonmdcr_uncomp_costs_only10","beds","total_margin","ucc_per_bed","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","safety_net"
"010130",0.0660673645449334,4174466.6978776,40,0.141098091019148,104361.66744694,103,FALSE
"010131",0.149005131121989,8632782.41518062,184.764383680527,0.117423315841128,46723.1954731462,89,FALSE
"010139",0.240821303583432,16303918.8464355,425,-0.0457787660629844,38362.1619916131,133,TRUE
"010144",0.207590896714615,10069441.5920563,190.520548115038,0.0320291600066915,52852.260250565,277,FALSE
"010148",0.280737717170192,1762860.21259975,44,0.114489749478459,40065.0048318126,35,FALSE
"010149",0.475030837696152,8462553.37694874,201.202739335413,0.143675900142238,42059.8318139264,255,FALSE
"010150",0.243499994277954,63999,44,0.273151705321281,1454.52272727273,44,FALSE
"010157",0.336438516154876,2148005.86836637,122,-0.0162580531996579,17606.6054784128,44,FALSE
"010158",0.308063683178914,1976650.89069414,49,-0.0622809458821101,40339.8140957988,48,TRUE
"010164",0.277570379285821,4294855.32602904,122,0.000361135963439273,35203.7321805659,75,TRUE
"010168",0.0366016300709604,1186773.68127251,47,0.134126581254754,25250.5038568618,9,FALSE
"010169",0.285499811172485,1378498,49,-0.0609488338800157,28132.612244898,42,TRUE
"010173",0.186605945641766,4193241.70023181,26,-0.0603409507000882,161278.526931993,44,FALSE
"011304",0,2708339.34496498,25,-0.0403974120152942,108333.573798599,16,FALSE
"011305",0,8145606.51971028,25,-0.0430912977611357,325824.260788411,40,FALSE
"020001",0.460660944337979,19810419.0534515,391,0.266581832416318,50666.0333847865,116,FALSE
"020006",0.324615742813661,2965891.7999239,100.178081597367,0.260441757176869,29606.1948145935,6,FALSE
"020012",0.464519958378778,4282850.70304298,122,0.0445249662365524,35105.3336314999,26,FALSE
"020017",0.345133565501907,6999855.66222763,166.991780753985,0.294951039244104,41917.3664154162,101,FALSE
"020024",0.0834972470747274,4272446.90240714,49,0.0493343349975137,87192.7939266763,4,FALSE
"021301",0,623681.292364597,11,0.119297900342996,56698.2993058725,0,FALSE
"021304",0,738711.011019021,12,0.00334936404869536,61559.2509182517,0,FALSE
"021313",0,1639178.83833105,21,0.132969917772912,78056.1351586215,0,FALSE
"030002",0.51929351159161,16847185.7690964,647.430136408871,-0.00565011014610273,26021.6273875408,1126,TRUE
"030006",0.403371657590737,14651760.8204727,481,0.0585391445285297,30461.041206804,335,FALSE
"030010",0.310999870300293,4967056,349,-0.164038663225974,14232.2521489971,229,FALSE
"030011",0.264299869537354,4930204,451,-0.0773685739192327,10931.7161862528,108,FALSE
"030013",0.369099855422974,13027752,406,0.0521363063264028,32088.0591133005,418,FALSE
"030014",0.34420865512456,7996429.3337059,262,0.0983094514495808,30520.7226477325,313,FALSE
"030016",0.368285347097606,4094576.58308029,141,-0.0575863478313282,29039.550234612,145,TRUE
"030022",0.806828741038204,49544955.616097,323,0.0658400538316272,153389.955467793,487,FALSE
"030024",0.469477916149242,31788921.6777137,501,0.0507199828869695,63450.9414724824,594,FALSE
"030030",0.489703236972701,6530800.35036146,141.99452113844,-0.0395656177207009,45993.3263480931,289,TRUE
"030036",0.291592773743984,18703578.130327,338,0.040003510729182,55336.0299713818,431,FALSE
"030037",0.48776422159474,4761288.05017954,152.282197304296,-0.258294314290826,31266.2158444257,85,TRUE
"030038",0.244619604822445,8299054.65571594,327,0.123997759081228,25379.3720358286,391,FALSE
"030043",0.274660406906178,2053371.53223176,75,0.0223274080779676,27378.2870964235,39,TRUE
"030061",0.127273903145856,4287907.80382347,410,-0.00615254316760528,10458.3117166426,603,FALSE
"030062",0.441039605351668,1566868.40382481,89,0.00572719583753889,17605.2629643237,108,FALSE
"030064",0.509566227307649,14992316.1160278,588.199997520446,-0.0654426746549942,25488.4668126961,414,TRUE
"030065",0.417953853977283,21145100.8612595,615,0.175285357577965,34382.2778231861,774,FALSE
"030083",0.290299892425537,3120086,120,0.0585243909137001,26000.7166666667,139,FALSE
"030085",0.273899793624878,3223260,281,0.133617444095917,11470.6761565836,95,FALSE
"030087",0.011383010737798,9306372.79016685,427,0.11825334748747,21794.784051913,232,FALSE
"030088",0.182057246056779,4540911.78173828,318,0.0865932765216303,14279.5967979191,537,FALSE
"030089",0.424782436456288,13562134.6766701,499,0.116849145204467,27178.6266065533,683,FALSE
"030092",0.247846482729585,9390685.88449287,204,0.113605456648404,46032.7739435925,269,FALSE
"030093",0.184851150980128,5745650.5019722,314,0.09449447780551,18298.2500062809,481,FALSE
"030094",0.347666733538741,5815392.96446247,262,0.0811064895945882,22196.1563529102,218,FALSE
"030101",0.217532776794205,1882787.02399567,139,0.460524653568017,13545.230388458,103,FALSE
"030103",0.0522788837670625,9791536.9841404,264.504109623008,0.0933570294860446,37018.4682502517,354,FALSE
"030105",0.107449837622316,1168972.57288933,111,0.217667990233171,10531.2844404444,17,FALSE
"030110",0.369055784764459,7963871.3587371,184.030138506955,0.13233903031486,43274.8213056206,395,FALSE
"030111",0.677243488111238,5640481.73784256,140.975342261954,0.129829311736484,40010.4135045237,188,FALSE
"030114",0.0692999958992004,3869996,111,0.137444809435631,34864.8288288288,19,FALSE
"030115",0.479064143279476,12840749.9995003,317,0.151709798943543,40507.0977902217,733,FALSE
"030119",0.235816928718906,8603969.29356494,197.747945188496,0.129641024477962,43509.7784978929,278,FALSE
"030122",0.295731349687706,6893411.007658,165,0.131971521844059,41778.2485312606,29,FALSE
"030123",0.050335308982379,2565860.03049803,120,0.129730216828307,21382.1669208169,75,FALSE
"030130",0.325038858837364,2627300.62388706,53,0.118379965931513,49571.7098846615,109,FALSE
"030131",0.00145616406592198,107585.071890831,64,0.0695198232184142,1681.01674829423,0,FALSE
"030134",0.194958614721167,951288.440384865,20,-0.135157700749377,47564.4220192432,6,FALSE
"030136",0.438963649431911,10776762.4831734,16,-0.0671858818681588,673547.655198336,5,TRUE
"030137",0,169171.727070495,49,-1.03994261439217,3452.48422592847,0,FALSE
"030138",0,35621794.4738308,38,0,937415.644048179,0,FALSE
"030139",0.208499908447266,1874450.24876216,50,-0.64939165066704,37489.0049752431,51,TRUE
"031302",0,929179.670047963,24,0.0182668688424684,38715.8195853318,0,FALSE
"031311",0,1135716,25,0.0211967208584028,45428.64,20,FALSE
"031312",0,1064172.80017633,14,0.15467409007022,76012.3428697376,31,FALSE
"031318",0,1241869.28606156,25,0.1595412758382,49674.7714424625,22,FALSE
"040001",0.37745715709594,2111069.15464676,44,0.152539883166902,47978.84442379,17,FALSE
"040002",0.380577483503391,2619144.95571995,57.7479451884962,0.00225889288834241,45354.7731814655,11,TRUE
"040004",0.278145382464946,11653853.8130035,346.178081597367,0.178093216988403,33664.3318353064,163,FALSE
"040007",0.38802677508798,2358128.29693788,387.454794146916,-0.313943239988045,6086.20239718524,247,FALSE
"040010",0.23874573038872,14689276.026941,214.821918402633,0.10694770020523,68378.8513582184,128,FALSE
"040011",0.264606135357505,826415.339574925,30,-0.0336955985372105,27547.1779858308,14,TRUE
"040014",0.423699855804443,8979512,216,0.0653599592687898,41571.8148148148,28,FALSE
"040015",0.360888898858633,878246.765742779,41,-0.0280601141237713,21420.6528229946,9,FALSE
"040016",0.531492242771042,22507135.3069169,505.756164434511,0.0863472515164758,44501.9495354687,242,FALSE
"040017",0.347819073452334,3604092.89867709,120,-0.0794253006572951,30034.1074889758,21,TRUE
"040018",0.462365367604936,658102.771627055,42.399999809265,-0.0992477692033361,15521.291853479,0,FALSE
"040019",0.589399814605713,1040824,56,0.0862812144175085,18586.1428571429,13,FALSE
"040020",0.416399955749512,14216904,337,0.0940924881283991,42186.6587537092,265,FALSE
"040022",0.535110166053247,9011145.44318104,282.320547814565,0.0866598159442481,31918.1353002325,56,FALSE
"040026",0.263982349200969,2382172.80429963,229,0.0776021315428994,10402.5013288193,137,FALSE
"040027",0.242531702672487,4006620.0717907,169.252054811504,0.0440924175156915,23672.5047518795,6044,FALSE
"040029",0.274357676897182,2933717.65814877,139,0.0604547970032404,21105.8824327249,89,FALSE
"040036",0.258616568015896,7878352.97297287,180.739725942481,0.038828415032799,43589.4927464928,170,FALSE
"040039",0.321013533485751,2715142.32475043,114,-0.00389750979012926,23817.0379364073,57,FALSE
"040041",0.494346497825482,2028105.68456876,137,0.140419248007809,14803.6911282391,69,FALSE
"040047",0.185344352761099,668614.988932604,32,-0.0415293314926073,20894.2184041439,24,FALSE
"040050",0.347599983215332,908762,87,0.0213607818110292,10445.5402298851,13,FALSE
"040051",0.319925174215136,1496241.65011718,49.5013697153901,-0.0762249275633638,30226.2676511757,35,TRUE
"040055",0.297997932914447,3967932.95407405,284.052053595568,-0.043005093239865,13969.0345619665,198,FALSE
"040062",0.334180479226179,18030055.0686048,343,0.148605723282001,52565.7582175066,166,FALSE
"040067",0.352099895477295,864158,30,-0.130237285429783,28805.2666666667,8,TRUE
"040069",0.706929387309715,1200730.45556402,33,-0.00986242690624584,36385.7713807279,14,TRUE
"040071",0.419879937846429,5007670.14917899,271,-0.00202733684985158,18478.4876353468,183,FALSE
"040072",0.38545877468292,1496214.38219833,49,0.0213564939230847,30534.9873918027,4,TRUE
"040076",0.732505555463033,1528849.02681971,64.7479451884962,0.199796558059207,23612.3173078138,6,FALSE
"040078",0.290001209439235,1790210.96503606,126,0.100931321277756,14208.0235320322,107,FALSE
"040084",0.335687364599932,4850380.72488525,130,0.0108679116063148,37310.6209606558,32,TRUE
"040088",0.278243737007167,1597988.91872586,111,0.074468711363807,14396.2965650979,48,FALSE
"040114",0.359742986281668,16958699.1785126,743.583560268192,0.0862483008120577,22806.7161307278,700,FALSE
"040118",0.275399923324585,4938976,180,-0.0509482739562974,27438.7555555556,399,TRUE
"040119",0.39139986038208,4232712,170,-0.000771537270625959,24898.3058823529,74,FALSE
"040132",0.299999952316284,295329.669102192,1,0.126231784004981,295329.669102192,0,FALSE
"040134",0.0787999629974365,4927848,112,0.0330771007631433,43998.6428571429,27,FALSE
"040137",0.207377172874818,696932.907648988,61.2684933035342,-0.0572428939168433,11375.0619620474,5,FALSE
"040152",0.0416892981625909,198056.802834988,20,0.103115565300809,9902.84014174938,0,FALSE
"040153",0.315399885177612,979254,67,-0.224450748231364,14615.7313432836,0,FALSE
"040154",0.290777322918358,3308657.85656834,110.747945188496,-0.263379960637625,29875.5688056957,38,TRUE
"040156",0.432199954986572,814823.62739726,11,-0.478029998899568,74074.8752179328,22,TRUE
"041300",0,700278.8541688,16,-0.0202693244173762,43767.42838555,16,FALSE
"041302",0,126353.188858303,25,-0.418207553374331,5054.12755433213,0,FALSE
"041303",0,1030813.56791413,25,-0.0973742868966583,41232.5427165653,11,FALSE
"041304",0,246296.700409254,20.2356163194734,-0.214834069005363,12171.445461349,18,FALSE
"041305",0,1207034.50500914,24,-0.123043560414118,50293.1043753809,15,FALSE
"041308",0,923577.186317526,25,0.034284530406779,36943.087452701,0,FALSE
"041309",0,643882.563737405,25,-0.0130140814844094,25755.3025494962,4,FALSE
"041311",0,949611,25,0.0372623408753662,37984.44,6,FALSE
"041314",0,447739.163940183,25,0.0419057196003758,17909.5665576073,8,FALSE
"041316",0,976226.498204231,25,0.0189590545697599,39049.0599281692,7,FALSE
"041318",0,1337406.14781862,24,-0.25249444490146,55725.2561591091,8,FALSE
"041320",0,496136.23348176,25,-0.00120479413592243,19845.4493392704,10,FALSE
"041321",0,1664661.05054474,25,0.0236198911929081,66586.4420217896,22,FALSE
"041323",0,1282356,25,0.0116389147627079,51294.24,14,FALSE
"041324",0,1071039.15249134,25,-0.0188559139987679,42841.5660996536,0,FALSE
"041326",0,1297576.46444908,25,0.0877763269664739,51903.0585779632,15,FALSE
"041328",0,791125.797773669,25,-0.109034350936909,31645.0319109468,45,FALSE
"041329",0,6334719.88130083,25,0.00731662258482954,253388.795252033,0,FALSE
"041330",0,929919.596384525,25,-0.0302769747181308,37196.783855381,23,FALSE
"041331",0,3313927.67352962,25,-0.0234598166595513,132557.106941185,0,FALSE
"050002",0.566799640655518,3051928,195,-0.00375272996531154,15650.9128205128,60,FALSE
"050006",0.408992522322248,9624773.0745454,132.235616319473,0.0341546817436189,72785.0282883888,18,FALSE
"050007",0.169998031517187,7881669.03200531,241,0.0797508538388288,32704.0208796901,28,FALSE
"050008",0.444547605321964,4260098.39074802,137,0.344208883642395,31095.6086915914,0,FALSE
"050009",0.365391695888076,7848941.47778299,147.463013392932,0.0893547880587383,53226.5094628754,54,FALSE
"050013",0.454322059370592,3272321.09138298,132.70684895842,-0.0915266104283508,24658.2683340501,20,FALSE
"050014",0.243172569004478,2216690.20097733,52,0.0397592854187169,42628.6577111024,46,FALSE
"050017",0.421486816558836,8473244.06616185,389,0.104381093138634,21782.1184220099,158,FALSE
"050022",0.538448397181385,16327553.2121131,478,0.133756905549686,34158.0611132074,427,FALSE
"050024",0.861493228798565,4606646.33951378,230,0.0197249347175121,20028.8971283208,59,FALSE
"050025",0.506450871046799,62966738.2347349,673.032876984061,-0.0479081921273269,93556.7048624672,232,TRUE
"050026",0.514099597930908,21857184,430,0.0312975943684353,50830.6604651163,322,FALSE
"050030",0.511974593458578,7343617.12225819,149.657535631363,0.0477495057943494,49069.4777999487,19,FALSE
"050036",0.652996334317224,6747331.92497416,417.723287450451,0.0720835107648573,16152.6353154886,387,FALSE
"050038",0.791255041162024,74235595.4956966,851.495890376992,0.00676005432817186,87182.5646308515,320,TRUE
"050039",0.342045376361431,12169080.7256269,303.041096230076,0.0483900091758754,40156.5361167644,154,FALSE
"050040",1.01155584033548,75487143.2362036,225.747945188496,-0.480670451483326,334386.845351673,139,TRUE
"050042",0.461449691246376,4977080.15534396,49,0.126945798250731,101573.064394775,6,FALSE
"050043",0.485637864542791,9025808.6875614,376.030135169094,0.111024619074979,24002.8865864771,104,FALSE
"050045",0.623278706726566,4560660.97654306,161,-0.0188319905622109,28327.0868108265,238,TRUE
"050047",0.352335992190349,13203393.9478836,345.076715029104,0.234449834453038,38262.1990207888,53,FALSE
"050054",0.425344776425424,2789726.45653689,61,-0.0275494556822532,45733.2205989655,88,TRUE
"050055",0.540044279887966,7335015.37495041,120,-0.378436070392071,61125.1281245867,27,TRUE
"050056",0.546423243711297,9518476.76755999,393,0.0389761084105765,24220.0426655471,497,FALSE
"050057",0.486464821032694,4871422.94280136,403,0.0607288731826672,12087.8981210952,518,FALSE
"050058",0.862987448559091,5161812.96349287,241,-0.014125048511305,21418.3110518376,141,FALSE
"050060",0.793181850514592,15886066.4135432,775.684931519913,0.0830767549351744,20480.0502987925,1010,FALSE
"050063",0.993837394079055,5100891.32159042,317,0.0657978114169522,16091.1398157427,238,FALSE
"050067",0.422001515362881,1622611.6639727,35,0.061434109002148,46360.3332563628,17,FALSE
"050069",0.40314502299518,17208724.3018987,413.284931795565,0.0994125249072036,41638.8863420047,418,FALSE
"050070",0.0349824541469471,3557010.27652836,120,0,29641.752304403,133,FALSE
"050071",0.0489251880630078,8771991.79244232,327,0,26825.6629738297,225,FALSE
"050072",0.0375616203961306,5836969.76478004,233,0,25051.3723810302,177,FALSE
"050073",0.198854989056915,7441507.78704643,200,0,37207.5389352322,140,FALSE
"050075",0.212672844067533,14621978.8853493,365,0,40060.2161242446,355,TRUE
"050076",0.118633664912654,5784499.65642357,239,0,24202.9274327346,102,FALSE
"050077",0.552099704742432,13363304,487,0.0248908719287796,27440.0492813142,368,TRUE
"050078",0.394032751642515,4299664.04458046,186,-0.139622489424581,23116.4733579595,12,FALSE
"050082",0.409531843177325,6520448.0419357,257.627398313235,0.0428549275494749,25309.6063719428,228,FALSE
"050084",0.502443363601993,12561222.1758109,348,0.125863660873002,36095.4660224452,619,FALSE
"050089",0.915847887354682,5608231.76893906,185,0.00779302421381194,30314.7663185895,188,TRUE
"050090",0.273681058532766,842849.150487358,48,0.0804165173266296,17559.3573018199,29,FALSE
"050091",0.788889123073864,2261669.46776104,81,0.0922763229579877,27921.8452810005,174,FALSE
"050093",0.516168955087268,7979603.0871413,385,0.0498937313925219,20726.2417847826,537,FALSE
"050099",0.384028915369869,6910463.44525909,363,0.0170338905423629,19037.089380879,551,FALSE
"050100",0.400899887084961,24686400,832,0.171340806123819,29671.1538461538,278,FALSE
"050101",0.538417316161247,4957178.92893791,106,-0.100219551692689,46765.8389522445,64,TRUE
"050102",0.606042790232874,6359093.81033884,185.057533039459,0.00903251067469929,34362.7935912392,315,TRUE
"050103",0.921363206217777,7895414.07616329,310,0.0528324452321801,25469.0776650429,339,FALSE
"050104",0.947841823199809,10944159.8868243,344,0.0115670197207841,31814.4182756521,484,TRUE
"050107",0.474436851049448,11550696.466723,273,0.0618822060835928,42310.24346785,357,FALSE
"050108",0.540600885319515,18711370.2130127,523,0.035892928642655,35776.9984952442,328,FALSE
"050110",0.379964034827898,1949951.75194717,60,-0.00397670492855614,32499.1958657862,36,TRUE
"050112",0.304158855744584,8748051.9359285,281,0.0126823704778618,31131.8574232331,63,TRUE
"050113",0.711877962828861,6424355.73941122,69,0.109797847051542,93106.6049190032,71,FALSE
"050115",0.372291707891304,12066572.0007923,286,0.0667282677551535,42190.8111915813,235,FALSE
"050116",0.519149825039698,11022138.0576442,318,0.0924452054356259,34660.8115020259,153,FALSE
"050118",0.361611671032067,2822864.38765536,73,-0.0565171030915921,38669.3751733611,136,TRUE
"050121",0.572477441107869,7124351.73707008,230,0.133172338260312,30975.4423350873,536,FALSE
"050122",0.515916918544507,3487991.2739706,170,-0.173283500014183,20517.5957292388,122,FALSE
"050124",0.347005996568628,2368762.79035739,121.235616319473,-0.0171963436748687,19538.5057812991,101,FALSE
"050125",0.684288782318979,18129718.7168846,258,-0.141821793789608,70270.2275848241,243,TRUE
"050126",0.993060578954778,2936250.50568523,333,0.222475608658256,8817.56908614184,401,FALSE
"050127",0.420007483941171,4549896.66188479,75.0109586767953,0.0391148576267822,60656.4259695605,24,FALSE
"050128",0.442227290894231,6842184.45254514,295.041096230076,-0.0218601557609742,23190.6149345701,112,FALSE
"050129",0.621523372429234,7431181.93901292,322.958903769924,-0.100120055505949,23009.6828180557,478,FALSE
"050131",0.209559685523803,1664994.41057396,47,-0.0689613850471259,35425.4129909353,15,TRUE
"050132",0.807861528169819,5058051.11228561,187,-0.0191734891317907,27048.4016699765,253,TRUE
"050133",0.434050039257024,2281500.1984978,209,-0.06832157396094,10916.268892334,173,FALSE
"050135",0.797377327304606,2940710.66198063,559,0.131964676519057,5260.66308046624,230,FALSE
"050136",0.38113431756451,3906266.60616314,80,0.115239271051395,48828.3325770393,47,FALSE
"050137",0.235684605247159,4716578.83215523,218,0,21635.6827163084,179,FALSE
"050138",0.189281084576568,8833502.85619926,460,0,19203.2670786941,236,FALSE
"050139",0.261940804050523,7485892.08700562,352,0,21266.7388835387,441,FALSE
"050140",0.249293890134863,14304628.9775887,626,0,22850.8450121224,898,FALSE
"050145",0.222428147580134,9812595.65683556,227,0.100521616760064,43227.2936424474,66,FALSE
"050146",0,0,217,0.0119409471150228,0,40,FALSE
"050149",1.08418373875659,12539236.3396525,318,0.301363306120544,39431.5608165173,394,FALSE
"050150",0.300138762134135,4397969.64008136,104,0.0296793050535295,42288.1696161669,14,TRUE
"050152",0.71716951209225,10238445.1451342,156,-0.0414254245426771,65631.0586226553,18,TRUE
"050158",0.440360936884945,1766930.24480152,82,-0.0906335444856024,21547.9298146527,22,FALSE
"050159",0.783374257006446,17179104.1643397,272,-0.144760498203264,63158.4711924253,88,TRUE
"050167",0.748341755364301,11830286.9532456,196,0.0220681990113624,60358.6069043141,283,TRUE
"050168",0.289699792861938,12559556.6255684,290,0.0895760325338926,43308.815950236,279,FALSE
"050169",0.358099937438965,6503604,352,0.0655862208710734,18476.1477272727,284,FALSE
"050174",0.38498120705108,19602388.1566149,279.98356150797,0.0609623357048187,70012.6394958258,100,FALSE
"050179",0.54896869193926,5028486.75304604,209,0.162937478216322,24059.7452298853,297,FALSE
"050180",0.271989210249493,7980987.74040604,506,0.103567262961075,15772.7030442807,149,FALSE
"050191",0.781115294285087,9191736.5185794,253.276712549549,0.0552196799726916,36291.2816818135,164,FALSE
"050192",0.990346533398955,7275289.57951546,49,0.13799218698876,148475.297541132,12,FALSE
"050194",0.607194323998942,1084057.92520344,106,-0.0397161365489404,10226.961558523,81,FALSE
"050195",0.384974091907267,9761973.57595726,331.342466517671,0.0296844339438643,29461.8847941625,296,TRUE
"050197",0.0772646367914405,3182771.59467656,208,0.186416901682863,15301.7865128681,19,FALSE
"050204",0.510699046141218,4327877.91653633,157,0.0849430046650402,27566.1013792123,181,FALSE
"050205",0.340214904731594,267733.751599789,107,-0.390961560827312,2502.18459439055,0,FALSE
"050211",0.511060345370021,4369575.19539444,36.7479451884962,-0.00996069831814175,118906.653772911,78,TRUE
"050222",0.579299926757812,13387632,243,0.0165909272215936,55093.1358024691,307,TRUE
"050224",0.187385369413585,21080760.021553,504.536986607068,0.17503118709693,41782.3877756075,344,FALSE
"050226",0.615273059097973,4904676.36482842,223,-0.0214938507448525,21994.064416271,276,FALSE
"050228",0.870836045976274,67761674.4370322,284,-0.0678249786459542,238597.445200818,208,TRUE
"050230",0.858889145958776,1523344.64713144,167,-0.0100160749960214,9121.82423432002,158,FALSE
"050231",0.654927320991678,7021871.23477745,412,0.0335513664522994,17043.3767834404,432,FALSE
"050232",0.198749225390449,2381340.47599638,98,0.0679938400461024,24299.392612208,23,FALSE
"050234",0.387699842453003,2430142,59,0.00629944379046018,41188.8474576271,7,TRUE
"050235",0.495700763683055,9493776.45150375,377,-0.0208706413855332,25182.4309058455,202,TRUE
"050236",0.269376645243658,3250648.35729265,144,0.0161441102795348,22573.9469256434,89,FALSE
"050238",0.355220661803337,5993430.73206329,318,0.0748459296358577,18847.2664530292,255,FALSE
