"n","optrdd","bias","optrdd.cr","CI_plusminus","truth"
1000,4.78975928256241,0.337869282562414,1,12.9212827419027,4.45189
1000,3.41786356881362,-1.03402643118638,1,24.0157660370278,4.45189
1000,-16.6538288581033,-21.1057188581033,0,18.3614422521877,4.45189
1000,-1.06922877387443,-5.52111877387443,1,22.066056382811,4.45189
1000,-2.73082303982959,-7.18271303982959,1,17.3826864835444,4.45189
1000,13.9268777448467,9.47498774484666,1,16.8694646078787,4.45189
1000,-8.22465608574027,-12.6765460857403,1,26.4901203531605,4.45189
1000,0.0970000946066719,-4.35488990539333,1,17.5753550210318,4.45189
1000,-4.94685776102921,-9.39874776102921,1,14.9075184897958,4.45189
1000,-1.68253081864733,-6.13442081864733,1,9.07306600847452,4.45189
1000,-0.131760407777967,-4.58365040777797,1,13.2772536118428,4.45189
1000,5.32664132463551,0.874751324635508,1,11.1597915972869,4.45189
1000,0.29856227309394,-4.15332772690606,1,8.08799917573261,4.45189
1000,-7.96573447170477,-12.4176244717048,1,19.0432562080801,4.45189
1000,-3.88949919512848,-8.34138919512848,1,16.8957836481297,4.45189
1000,0.363452910916262,-4.08843708908374,1,13.2932537014416,4.45189
1000,-6.87509853849448,-11.3269885384945,1,25.3770814059588,4.45189
1000,-4.59130117402657,-9.04319117402657,1,11.8604739968708,4.45189
1000,5.74863717325033,1.29674717325033,1,8.5859991790094,4.45189
1000,2.96712162271833,-1.48476837728167,1,6.68070829944344,4.45189
1000,4.30913455535064,-0.142755444649364,1,16.8730405492229,4.45189
1000,5.18635897745403,0.734468977454034,1,10.2369485322382,4.45189
1000,5.71248409893595,1.26059409893596,1,12.5063804511383,4.45189
1000,0.299273787109734,-4.15261621289027,1,21.2455526879106,4.45189
1000,7.08265916646326,2.63076916646326,1,23.4503469856347,4.45189
1000,5.85345088143367,1.40156088143367,1,21.2067271760136,4.45189
1000,10.4445594432857,5.99266944328567,1,17.7009950878867,4.45189
1000,3.44095245397473,-1.01093754602527,1,12.3017889402597,4.45189
1000,1.30673770259616,-3.14515229740384,1,16.8035613324154,4.45189
1000,6.71545304891671,2.26356304891671,1,9.51718471638796,4.45189
1000,4.8758185865468,0.4239285865468,1,7.90226789653559,4.45189
1000,19.7642495281951,15.3123595281951,1,24.8132202449099,4.45189
1000,10.8627581206693,6.41086812066932,1,19.8931053744888,4.45189
1000,-13.2211547779062,-17.6730447779062,1,27.1057271219491,4.45189
1000,11.8925259267676,7.44063592676764,1,30.4480012908141,4.45189
1000,5.52384807322881,1.07195807322882,1,15.0464796832702,4.45189
1000,1.36797799778537,-3.08391200221462,1,14.225629486269,4.45189
1000,15.4042929382754,10.9524029382754,1,21.1706530381872,4.45189
1000,12.1866347037897,7.73474470378967,1,18.6725480369769,4.45189
1000,-7.0441620326607,-11.4960520326607,1,23.1784632493649,4.45189
1000,11.4045245981197,6.95263459811971,1,31.7048627989612,4.45189
1000,-3.49463499560409,-7.94652499560409,1,20.5409835029053,4.45189
1000,5.61565374048303,1.16376374048303,1,13.2358836106058,4.45189
1000,4.8410289439988,0.389138943998797,1,6.99710827319059,4.45189
1000,27.9208694447475,23.4689794447475,1,34.2810634614844,4.45189
1000,2.7935507266138,-1.6583392733862,1,18.7694882104791,4.45189
1000,6.56882663050546,2.11693663050546,1,10.1323922895784,4.45189
1000,5.73969262564509,1.2878026256451,1,8.63944784129365,4.45189
1000,11.8161357740107,7.36424577401067,1,15.6807568301533,4.45189
1000,-0.270237490469302,-4.7221274904693,1,19.7104086899239,4.45189
1000,35.9878361829847,31.5359461829847,1,42.6566931650223,4.45189
1000,7.19894751685537,2.74705751685537,1,21.7812408798119,4.45189
1000,5.12321532479003,0.671325324790031,1,12.2869787061496,4.45189
1000,7.1337488902209,2.68185889022091,1,16.0759078237015,4.45189
1000,12.1448410683773,7.69295106837729,1,17.0613576210476,4.45189
1000,3.35415967061355,-1.09773032938645,1,14.0127526405883,4.45189
1000,9.91024545791788,5.45835545791788,1,11.9845526456261,4.45189
1000,9.12557975357067,4.67368975357067,1,20.979137281341,4.45189
1000,2.46430080944768,-1.98758919055232,1,13.3496682174871,4.45189
